CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
EEYCOC,Closed,Account Status
EEYD01,Closed,Account Status
EEYE02,Trading Account,Account Status
EEYEXC,Consignment,Operations
EEYLOC,Closed,Account Status
EEYLOC,Consignment,Operations
EEYOC,Consignment,Operations
EEYP,Promotion,Marketing
EEYPC2,Consignment,Operations
EEYPRF,Consignment,Operations
EEYPRF,Promotional Stand,Retail Format
EEYTC1,Consignment,Operations
EEYTC2,Consignment,Operations
EEYTC3,Consignment,Operations
EEYW01,Closed,Account Status
EEYW05,Closed,Account Status
EEYZ01,Closed,Account Status
EGRWC1,Consignment,Operations
EGRWC1,Promotional Stand,Retail Format
EGRWCO,Consignment,Operations
EIDA01,Closed,Account Status
ENIMC1,Consignment,Operations
ENIMOC,Consignment,Operations
EOBRC0,Consignment,Operations
EPERC1,Consignment,Operations
EPERC2,Consignment,Operations
EPERC2,Promotional Stand,Retail Format
EPERC3,Consignment,Operations
EPERC3,Promotional Stand,Retail Format
EPEROC,Closed,Account Status
EPRT05,Trading Account,Account Status
EPRTC1,Consignment,Operations
EPRTOC,Consignment,Operations
EROT01,Trading Account,Account Status
EROTC1,Promotional Stand,Retail Format
EROTOC,Consignment,Operations
ESEB01,Closed,Account Status
ESEDC1,Consignment,Operations
ESEDC1,Promotional Stand,Retail Format
